序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
1744,【天气辣么热太阳辣么大 出门一定要打伞戴帽子】#连线四川#据悉，泸州最高温41.6℃ 蚊子被热死……学习滚滚戴荷叶是不是会好些呢～仔细看，还给荷叶掏了两个洞露出耳朵，超可爱！！（据@中国大熊猫猫保护研究中心 ????????） ?? ????????, 8月5日 14:12,228,203,2048,iPhone 6s,FfGCNbj4Z,,2277,1,2
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
3584,【安检要求喝口水 女子一巴掌打向安检员】2日中午，杭州火车东站，一28岁女子带了瓶水过安检，安检员要求她喝一口，女子很不情愿，最后还是喝了。喝完后，觉得咽不下这口气，竟给了安检员一巴掌，致其脸部红肿。因涉嫌殴打他人，女子被行拘3天。安检关系人人，人人都要安检！L1818黄金眼的秒拍视频,7月5日 11:02,211,318,212,微博 weibo.com,FaX7Z0n4G,,7567,2,5
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
18,#随手拍秋景#【国庆+中秋的超长版假期，还不出去拍点啥？】美好的长假马上就要开始了，各位亲是不是蠢蠢欲动了！象博士也想要分享尼萌在路上的喜悦和美好。能不能随手拍一些美照@一下我们呀！我们将从中挑选出十张最美的图片给予上墙哦，祝大家节日愉快，么么哒~ ????????, 9月30日 07:30,1,6,25,微博 weibo.com,Fo9V8a7al,,10067,3,10
523,#砥砺奋进的五年# 【全方位多层次气象教育培训格局形成】重视学习、重视干部教育培训，是我们党治国理政的一条成功经验。党的十八大以来，气象部门始终坚持“分层分类”教育培训的计划性、系统性、统筹性，紧紧围绕气象现代化建设，开创了气象干部教育和学历后专业继续教育的新局面，全方位多层次的气 ????????...展开全文c, 9月8日 10:40,转发,1,5,微博 weibo.com,FkPLkgXQN,,10572,4,10
971,#13号台风天鸽#【澳门回归以来首发“十号风球”】 8月23日11时30分，澳门地球物理暨气象局发布最高级的热带气旋十号风球警告。这是1999年12月20日澳门特别行政区成立以来首次挂出“十号风球”。????????据悉，1931年以来，澳门曾11次发布最高等级的热带气旋警告——“十号风球”。上一次“十号风球”是在1 ????????...展开全文c, 8月23日 14:05,11,4,13,微博 weibo.com,FiqgXAFJA,,11020,5,10
1892,#夏季台风#【中国气象局应急办】接广东省局报，7月22日17时广东省气象局启动气象灾害台风Ⅲ级应急响应。 ????????, 7月22日 19:08,3,10,20,Weico.Android,FdAzLEkO1,,11941,6,10
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
18,#随手拍秋景#【国庆+中秋的超长版假期，还不出去拍点啥？】美好的长假马上就要开始了，各位亲是不是蠢蠢欲动了！象博士也想要分享尼萌在路上的喜悦和美好。能不能随手拍一些美照@一下我们呀！我们将从中挑选出十张最美的图片给予上墙哦，祝大家节日愉快，么么哒~ ????????, 9月30日 07:30,1,6,25,微博 weibo.com,Fo9V8a7al,,12512,7,11
523,#砥砺奋进的五年# 【全方位多层次气象教育培训格局形成】重视学习、重视干部教育培训，是我们党治国理政的一条成功经验。党的十八大以来，气象部门始终坚持“分层分类”教育培训的计划性、系统性、统筹性，紧紧围绕气象现代化建设，开创了气象干部教育和学历后专业继续教育的新局面，全方位多层次的气 ????????...展开全文c, 9月8日 10:40,转发,1,5,微博 weibo.com,FkPLkgXQN,,13017,8,11
971,#13号台风天鸽#【澳门回归以来首发“十号风球”】 8月23日11时30分，澳门地球物理暨气象局发布最高级的热带气旋十号风球警告。这是1999年12月20日澳门特别行政区成立以来首次挂出“十号风球”。????????据悉，1931年以来，澳门曾11次发布最高等级的热带气旋警告——“十号风球”。上一次“十号风球”是在1 ????????...展开全文c, 8月23日 14:05,11,4,13,微博 weibo.com,FiqgXAFJA,,13465,9,11
1892,#夏季台风#【中国气象局应急办】接广东省局报，7月22日17时广东省气象局启动气象灾害台风Ⅲ级应急响应。 ????????, 7月22日 19:08,3,10,20,Weico.Android,FdAzLEkO1,,14386,10,11
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
557,【这样灭蚊会着火？】左手一个电蚊拍，右手一个杀虫剂，没有你拿不下的蚊虫？看似统一战线的杀虫灭蚊两兄弟，一旦碰面，是仇家相见要火拼的节奏！来看视频。温馨提示：不要同时使用杀虫剂和电蚊拍；劣质电蚊拍即使关闭电源开关仍有余电，要购买合格的电蚊拍。L中国消防的秒拍视频 ????????, 8月30日 20:16,103,11,24,iPhone,FjwGKbJQo,,15948,11,14
907,预防家庭火灾的九个细节, 8月14日 15:35,86,8,51,iPhone,Fh40YzpXw,-,16298,12,14
1745,【9岁男孩独自在家遇火灾 站19楼窗台求救】7月3日下午，西安一9岁男孩独自在19楼家中时卧室起火，他马上跑到另一间卧室爬上窗台求救，前面是五六十米的高空，背后是熊熊火焰。孩子开始还呼喊，渐渐不说话。因救援及时，孩子无大碍。起火原因正在调查中。°9岁男孩19楼窗台求救 ????????, 7月5日 22:33,43,39,57,iPhone 6s,Fb1ELjf3U,,17136,13,14
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,errorID,DataSource
123,【6组数据带你看8月经济亮在哪】9月14日，国家统计局介绍2017年8月份国民经济运行情况，新闻发言人刘爱华表示，我国经济运行继续保持稳中有进、稳中向好的发展态势。中国政府网用6组数据带你看8月经济亮点。 ????????, 9月16日 13:30,35,评论,21,微博 weibo.com,Fm4iii7ya,,17357,14,15
